Point { x: 655, y: 930 }
Point { x: 802, y: 961 }
Point { x: 468, y: 562 }
Point { x: 337, y: 390 }
Point { x: 194, y: 598 }
Point { x: 213, y: 597 }
Point { x: 558, y: 583 }
Point { x: 213, y: 188 }
Point { x: 863, y: 481 }
Point { x: 716, y: 930 }
Point { x: 186, y: 506 }
Point { x: 515, y: 545 }
Point { x: 863, y: 615 }
Point { x: 281, y: 310 }
Point { x: 672, y: 741 }
Point { x: 863, y: 739 }
Point { x: 553, y: 930 }
Point { x: 153, y: 506 }
Point { x: 94, y: 859 }
Point { x: 963, y: 561 }
Point { x: 468, y: 699 }
Point { x: 863, y: 889 }
Point { x: 390, y: 930 }
Point { x: 245, y: 394 }
Point { x: 652, y: 172 }
Point { x: 863, y: 678 }
Point { x: 631, y: 930 }
Point { x: 863, y: 754 }
Point { x: 275, y: 597 }
Point { x: 863, y: 578 }
Point { x: 863, y: 937 }
Point { x: 288, y: 930 }
Point { x: 512, y: 335 }
Point { x: 863, y: 841 }
Point { x: 584, y: 383 }
Point { x: 383, y: 526 }
Point { x: 794, y: 961 }
Point { x: 538, y: 383 }
Point { x: 963, y: 541 }
Point { x: 677, y: 114 }
Point { x: 468, y: 800 }
Point { x: 244, y: 603 }
Point { x: 436, y: 446 }
Point { x: 774, y: 383 }
Point { x: 323, y: 188 }
Point { x: 546, y: 335 }
Point { x: 741, y: 172 }
Point { x: 610, y: 417 }
Point { x: 405, y: 930 }
Point { x: 630, y: 930 }
Point { x: 194, y: 673 }
Point { x: 942, y: 458 }
Point { x: 392, y: 699 }
Point { x: 322, y: 768 }
Point { x: 867, y: 714 }
Point { x: 188, y: 597 }
Point { x: 928, y: 798 }
Point { x: 234, y: 742 }
Point { x: 674, y: 458 }
Point { x: 250, y: 188 }
Point { x: 194, y: 603 }
Point { x: 440, y: 335 }
Point { x: 34, y: 533 }
Point { x: 468, y: 685 }
Point { x: 845, y: 798 }
Point { x: 789, y: 114 }
Point { x: 607, y: 930 }
Point { x: 863, y: 550 }
Point { x: 863, y: 880 }
Point { x: 527, y: 697 }
Point { x: 889, y: 191 }
Point { x: 789, y: 413 }
Point { x: 532, y: 697 }
Point { x: 542, y: 736 }
Point { x: 863, y: 801 }
Point { x: 536, y: 800 }
Point { x: 322, y: 550 }
Point { x: 624, y: 180 }
Point { x: 481, y: 930 }
Point { x: 468, y: 765 }
Point { x: 468, y: 750 }
Point { x: 863, y: 616 }
Point { x: 863, y: 496 }
Point { x: 290, y: 697 }
Point { x: 186, y: 394 }
Point { x: 468, y: 536 }
Point { x: 789, y: 285 }
Point { x: 350, y: 800 }
Point { x: 524, y: 383 }
Point { x: 468, y: 538 }
Point { x: 11, y: 533 }
Point { x: 542, y: 459 }
Point { x: 164, y: 293 }
Point { x: 517, y: 736 }
Point { x: 789, y: 335 }
Point { x: 438, y: 691 }
Point { x: 681, y: 537 }
Point { x: 468, y: 884 }
Point { x: 721, y: 961 }
Point { x: 527, y: 294 }
Point { x: 526, y: 930 }
Point { x: 314, y: 930 }
Point { x: 328, y: 242 }
Point { x: 214, y: 188 }
Point { x: 770, y: 148 }
Point { x: 672, y: 742 }
Point { x: 437, y: 232 }
Point { x: 789, y: 279 }
Point { x: 963, y: 537 }
Point { x: 863, y: 805 }
Point { x: 514, y: 294 }
Point { x: 698, y: 961 }
Point { x: 610, y: 459 }
Point { x: 601, y: 930 }
Point { x: 789, y: 252 }
Point { x: 789, y: 425 }
Point { x: 789, y: 464 }
Point { x: 446, y: 930 }
Point { x: 583, y: 683 }
Point { x: 245, y: 768 }
Point { x: 583, y: 459 }
Point { x: 468, y: 599 }
Point { x: 672, y: 383 }
Point { x: 468, y: 688 }
Point { x: 255, y: 201 }
Point { x: 863, y: 643 }
Point { x: 863, y: 834 }
Point { x: 809, y: 961 }
Point { x: 298, y: 583 }
Point { x: 461, y: 446 }
Point { x: 863, y: 770 }
Point { x: 593, y: 928 }
Point { x: 332, y: 357 }
Point { x: 520, y: 383 }
Point { x: 863, y: 696 }
Point { x: 506, y: 335 }
Point { x: 537, y: 383 }
Point { x: 69, y: 533 }
Point { x: 194, y: 188 }
Point { x: 322, y: 549 }
Point { x: 468, y: 535 }
Point { x: 325, y: 602 }
Point { x: 813, y: 370 }
Point { x: 863, y: 848 }
Point { x: 115, y: 546 }
Point { x: 789, y: 203 }
Point { x: 709, y: 369 }
Point { x: 610, y: 549 }
Point { x: 468, y: 827 }
Point { x: 344, y: 930 }
Point { x: 234, y: 868 }
Point { x: 672, y: 513 }
Point { x: 441, y: 930 }
Point { x: 687, y: 868 }
Point { x: 575, y: 930 }
Point { x: 863, y: 360 }
Point { x: 774, y: 961 }
Point { x: 711, y: 673 }
Point { x: 789, y: 439 }
Point { x: 558, y: 683 }
Point { x: 865, y: 217 }
Point { x: 677, y: 930 }
Point { x: 865, y: 213 }
Point { x: 741, y: 64 }
Point { x: 865, y: 714 }
Point { x: 580, y: 383 }
Point { x: 480, y: 335 }
Point { x: 624, y: 930 }
Point { x: 468, y: 706 }
Point { x: 863, y: 665 }
Point { x: 789, y: 189 }
Point { x: 789, y: 190 }
Point { x: 482, y: 930 }
Point { x: 789, y: 331 }
Point { x: 389, y: 549 }
Point { x: 550, y: 383 }
Point { x: 504, y: 383 }
Point { x: 863, y: 524 }
Point { x: 593, y: 932 }
Point { x: 320, y: 310 }
Point { x: 69, y: 293 }
Point { x: 789, y: 195 }
Point { x: 468, y: 637 }
Point { x: 863, y: 811 }
Point { x: 312, y: 198 }
Point { x: 468, y: 737 }
Point { x: 123, y: 370 }
Point { x: 574, y: 383 }
Point { x: 741, y: 961 }
Point { x: 674, y: 213 }
Point { x: 265, y: 930 }
Point { x: 751, y: 961 }
Point { x: 813, y: 961 }
Point { x: 674, y: 370 }
Point { x: 709, y: 360 }
Point { x: 592, y: 474 }
Point { x: 290, y: 583 }
Point { x: 350, y: 745 }
Point { x: 536, y: 930 }
Point { x: 514, y: 335 }
Point { x: 703, y: 961 }
Point { x: 519, y: 736 }
Point { x: 275, y: 800 }
Point { x: 582, y: 741 }
Point { x: 624, y: 366 }
Point { x: 517, y: 673 }
Point { x: 543, y: 383 }
Point { x: 468, y: 700 }
Point { x: 323, y: 745 }
Point { x: 350, y: 790 }
Point { x: 652, y: 140 }
Point { x: 542, y: 589 }
Point { x: 138, y: 201 }
Point { x: 789, y: 266 }
Point { x: 863, y: 558 }
Point { x: 789, y: 382 }
Point { x: 863, y: 619 }
Point { x: 387, y: 335 }
Point { x: 312, y: 242 }
Point { x: 438, y: 461 }
Point { x: 582, y: 537 }
Point { x: 356, y: 511 }
Point { x: 693, y: 868 }
Point { x: 549, y: 930 }
Point { x: 519, y: 745 }
Point { x: 270, y: 930 }
Point { x: 234, y: 394 }
Point { x: 789, y: 319 }
Point { x: 468, y: 787 }
Point { x: 672, y: 507 }
Point { x: 259, y: 691 }
Point { x: 613, y: 508 }
Point { x: 337, y: 930 }
Point { x: 461, y: 417 }
Point { x: 473, y: 335 }
Point { x: 427, y: 930 }
Point { x: 242, y: 673 }
Point { x: 582, y: 862 }
Point { x: 337, y: 794 }
Point { x: 642, y: 930 }
Point { x: 863, y: 640 }
Point { x: 863, y: 705 }
Point { x: 200, y: 508 }
Point { x: 877, y: 714 }
Point { x: 863, y: 746 }
Point { x: 251, y: 597 }
Point { x: 789, y: 378 }
Point { x: 468, y: 866 }
Point { x: 242, y: 546 }
Point { x: 863, y: 760 }
Point { x: 351, y: 333 }
Point { x: 188, y: 310 }
Point { x: 215, y: 394 }
Point { x: 789, y: 314 }
Point { x: 879, y: 294 }
Point { x: 437, y: 101 }
Point { x: 113, y: 626 }
Point { x: 789, y: 390 }
Point { x: 582, y: 714 }
Point { x: 576, y: 388 }
Point { x: 580, y: 930 }
Point { x: 776, y: 961 }
Point { x: 113, y: 789 }
Point { x: 468, y: 817 }
Point { x: 410, y: 691 }
Point { x: 610, y: 488 }
Point { x: 863, y: 606 }
Point { x: 468, y: 741 }
Point { x: 438, y: 242 }
Point { x: 389, y: 550 }
Point { x: 546, y: 930 }
Point { x: 728, y: 930 }
Point { x: 152, y: 293 }
Point { x: 789, y: 393 }
Point { x: 606, y: 930 }
Point { x: 152, y: 151 }
Point { x: 863, y: 675 }
Point { x: 508, y: 446 }
Point { x: 517, y: 683 }
Point { x: 322, y: 794 }
Point { x: 225, y: 583 }
Point { x: 863, y: 932 }
Point { x: 542, y: 148 }
Point { x: 468, y: 804 }
Point { x: 429, y: 526 }
Point { x: 351, y: 370 }
Point { x: 681, y: 360 }
Point { x: 337, y: 583 }
Point { x: 789, y: 191 }
Point { x: 432, y: 335 }
Point { x: 672, y: 304 }
Point { x: 594, y: 537 }
Point { x: 186, y: 310 }
Point { x: 863, y: 843 }
Point { x: 436, y: 461 }
Point { x: 468, y: 724 }
Point { x: 863, y: 593 }
Point { x: 863, y: 917 }
Point { x: 515, y: 446 }
Point { x: 416, y: 930 }
Point { x: 963, y: 551 }
Point { x: 863, y: 584 }
Point { x: 879, y: 861 }
Point { x: 188, y: 741 }
Point { x: 753, y: 528 }
Point { x: 601, y: 383 }
Point { x: 863, y: 485 }
Point { x: 250, y: 198 }
Point { x: 863, y: 867 }
Point { x: 672, y: 549 }
Point { x: 789, y: 262 }
Point { x: 619, y: 930 }
Point { x: 245, y: 673 }
Point { x: 770, y: 388 }
Point { x: 863, y: 475 }
Point { x: 863, y: 771 }
Point { x: 468, y: 557 }
Point { x: 863, y: 635 }
Point { x: 575, y: 383 }
Point { x: 364, y: 930 }
Point { x: 348, y: 930 }
Point { x: 322, y: 800 }
Point { x: 863, y: 654 }
Point { x: 594, y: 488 }
Point { x: 546, y: 768 }
Point { x: 752, y: 961 }
Point { x: 251, y: 742 }
Point { x: 610, y: 294 }
Point { x: 262, y: 741 }
Point { x: 410, y: 511 }
Point { x: 863, y: 549 }
Point { x: 296, y: 603 }
Point { x: 468, y: 830 }
Point { x: 87, y: 151 }
Point { x: 711, y: 528 }
Point { x: 652, y: 114 }
Point { x: 422, y: 930 }
Point { x: 566, y: 930 }
Point { x: 799, y: 961 }
Point { x: 192, y: 736 }
Point { x: 674, y: 217 }
Point { x: 112, y: 816 }
Point { x: 486, y: 335 }
Point { x: 515, y: 417 }
Point { x: 784, y: 961 }
Point { x: 251, y: 598 }
Point { x: 350, y: 697 }
Point { x: 221, y: 736 }
Point { x: 863, y: 927 }
Point { x: 290, y: 800 }
Point { x: 419, y: 930 }
Point { x: 234, y: 603 }
Point { x: 578, y: 383 }
Point { x: 527, y: 175 }
Point { x: 468, y: 446 }
Point { x: 774, y: 294 }
Point { x: 789, y: 339 }
Point { x: 863, y: 562 }
Point { x: 546, y: 508 }
Point { x: 789, y: 496 }
Point { x: 889, y: 213 }
Point { x: 111, y: 293 }
Point { x: 468, y: 717 }
Point { x: 262, y: 691 }
Point { x: 320, y: 333 }
Point { x: 863, y: 617 }
Point { x: 681, y: 528 }
Point { x: 111, y: 546 }
Point { x: 323, y: 310 }
Point { x: 863, y: 842 }
Point { x: 863, y: 892 }
Point { x: 340, y: 930 }
Point { x: 468, y: 823 }
Point { x: 763, y: 961 }
Point { x: 561, y: 369 }
Point { x: 525, y: 383 }
Point { x: 496, y: 930 }
Point { x: 863, y: 825 }
Point { x: 863, y: 835 }
Point { x: 741, y: 213 }
Point { x: 234, y: 357 }
Point { x: 613, y: 513 }
Point { x: 674, y: 212 }
Point { x: 863, y: 589 }
Point { x: 507, y: 383 }
Point { x: 789, y: 206 }
Point { x: 360, y: 930 }
Point { x: 392, y: 589 }
Point { x: 322, y: 816 }
Point { x: 583, y: 369 }
Point { x: 461, y: 930 }
Point { x: 863, y: 649 }
Point { x: 302, y: 741 }
Point { x: 863, y: 501 }
Point { x: 542, y: 699 }
Point { x: 335, y: 549 }
Point { x: 863, y: 829 }
Point { x: 315, y: 930 }
Point { x: 640, y: 508 }
Point { x: 242, y: 597 }
Point { x: 863, y: 478 }
Point { x: 392, y: 461 }
Point { x: 437, y: 212 }
Point { x: 126, y: 370 }
Point { x: 789, y: 367 }
Point { x: 559, y: 383 }
Point { x: 789, y: 400 }
Point { x: 709, y: 172 }
Point { x: 320, y: 597 }
Point { x: 234, y: 673 }
Point { x: 872, y: 507 }
Point { x: 410, y: 930 }
Point { x: 789, y: 238 }
Point { x: 123, y: 558 }
Point { x: 409, y: 335 }
Point { x: 770, y: 217 }
Point { x: 863, y: 518 }
Point { x: 483, y: 335 }
Point { x: 392, y: 537 }
Point { x: 594, y: 370 }
Point { x: 512, y: 930 }
Point { x: 789, y: 477 }
Point { x: 528, y: 383 }
Point { x: 532, y: 425 }
Point { x: 487, y: 335 }
Point { x: 514, y: 333 }
Point { x: 138, y: 816 }
Point { x: 301, y: 800 }
Point { x: 468, y: 620 }
Point { x: 863, y: 527 }
Point { x: 753, y: 961 }
Point { x: 872, y: 425 }
Point { x: 188, y: 816 }
Point { x: 571, y: 930 }
Point { x: 789, y: 222 }
Point { x: 389, y: 242 }
Point { x: 963, y: 546 }
Point { x: 865, y: 73 }
Point { x: 394, y: 335 }
Point { x: 863, y: 774 }
Point { x: 397, y: 930 }
Point { x: 438, y: 598 }
Point { x: 34, y: 348 }
Point { x: 350, y: 789 }
